path	line	string	context
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	127	Show Channel Logos	title = "Show Channel Logos",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	137	Show Channel Numbers	title = "Show Channel Numbers",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	147	Show Channel Names	title = "Show Channel Names",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	148	Display each channel's name in the Guide's channel column.	subtitle = "Display each channel's name in the Guide's channel column.",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	153	Show Program Subtitles	title = "Show Program Subtitles",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	163	Rounded corners in Guide view	title = "Rounded corners in Guide view",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	203	Full program details in every guide cell	subtitle = "Full program details in every guide cell",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	208	Channel Preview	label = "Channel Preview",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	209	A banner shows the highlighted program; cells keep the title and tags	subtitle = "A banner shows the highlighted program; cells keep the title and tags",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	293	Show program badges	title = "Show program badges",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	294	LIVE, NEW, and season/episode pills on the guide	subtitle = "LIVE, NEW, and season/episode pills on the guide",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	322	Live TV List	label = if (listViewShown) "Live TV List" else "Live-TV",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	322	Live-TV	label = if (listViewShown) "Live TV List" else "Live-TV",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	334	Color Programs by Category	title = "Color Programs by Category",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	335	Apply category tints to the guide and channel rows.	subtitle = "Apply category tints to the guide and channel rows.",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	393	Reset Colors to Defaults	text = "Reset Colors to Defaults",
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	185	Enable Debug Logging?	title = { Text("Enable Debug Logging?") },
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	197	Enable Logging	label = "Enable Logging",
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	213	Disable Debug Logging?	title = { Text("Disable Debug Logging?") },
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	215	The existing log file will be kept. You can share or clear it at any time.	Text("The existing log file will be kept. You can share or clear it at any time.")
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	236	Delete All Logs?	title = { Text("Delete All Logs?") },
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	245	Delete All Logs	label = "Delete All Logs",
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	281	Active, writing to aerio_debug_logs.txt	subtitle = if (enabled) "Active, writing to aerio_debug_logs.txt"
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	311	Scroll through entries in the app	subtitle = "Scroll through entries in the app",
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	317	Scan a QR code with your phone	subtitle = if (isTv) "Scan a QR code with your phone" else "Email, Messages, Drive, etc.",
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	322	Delete All Logs	label = "Delete All Logs",
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	323	Removes the current log and rotated archives	subtitle = "Removes the current log and rotated archives",
app/src/main/java/com/aeriotv/android/feature/settings/DeveloperSettingsScreen.kt	340	Network	title = "Network",
